Type,Anal.,Sample Name,Sample ID,Treatment,Origin,Originc,Cal. Curve,Manual Dilution,Date / Time,Spl. No.,Inj. No.,Analysis(Inj.),Area,Mean Area,Conc.,Mean Conc.,Result,NPOC_ppm,TN_ppm,SD Area,SD Conc,Vial,Excluded,Inj. Vol.
Unknown,NPOC/TN,"NH4Cl 0,967ppm N","NH4Cl 0,967ppm N",Calib2_N,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 16:36,1,2,NPOC,"2,672","2,600","0,8522","0,8476",NPOC:0.8476 TN:0.9388,0.8476,0.9388,"0,09986","0,00638",6,0,150
Unknown,NPOC/TN,"NH4Cl 0,967ppm N","NH4Cl 0,967ppm N",Calib2_N,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 16:40,1,3,NPOC,"2,486","2,600","0,8403","0,8476",NPOC:0.8476 TN:0.9388,0.8476,0.9388,"0,09986","0,00638",6,0,150
Unknown,NPOC/TN,"NH4Cl 0,967ppm N","NH4Cl 0,967ppm N",Calib2_N,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 16:33,1,1,TN,"26,75","26,40","0,9507","0,9388",NPOC:0.8476 TN:0.9388,0.8476,0.9388,"0,3242","0,01095",6,0,150
Unknown,NPOC/TN,"NH4Cl 0,967ppm N","NH4Cl 0,967ppm N",Calib2_N,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 16:36,1,2,TN,"26,34","26,40","0,9368","0,9388",NPOC:0.8476 TN:0.9388,0.8476,0.9388,"0,3242","0,01095",6,0,150
Unknown,NPOC/TN,"NH4Cl 0,967ppm N","NH4Cl 0,967ppm N",Calib2_N,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 16:40,1,3,TN,"26,11","26,40","0,9290","0,9388",NPOC:0.8476 TN:0.9388,0.8476,0.9388,"0,3242","0,01095",6,0,150
Unknown,NPOC/TN,"EDTA 8,56ppmC","EDTA 8,56ppmC",Calib1_C,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 16:46,1,1,NPOC,"118,5","117,5","8,247","8,184",NPOC:8.184 TN:1.686,8.184,1.686,"1,054","0,06727",7,0,150
Unknown,NPOC/TN,"EDTA 8,56ppmC","EDTA 8,56ppmC",Calib1_C,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 16:50,1,2,NPOC,"117,6","117,5","8,190","8,184",NPOC:8.184 TN:1.686,8.184,1.686,"1,054","0,06727",7,0,150
Unknown,NPOC/TN,"EDTA 8,56ppmC","EDTA 8,56ppmC",Calib1_C,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 16:54,1,3,NPOC,"116,4","117,5","8,113","8,184",NPOC:8.184 TN:1.686,8.184,1.686,"1,054","0,06727",7,0,150
Unknown,NPOC/TN,"EDTA 8,56ppmC","EDTA 8,56ppmC",Calib1_C,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 16:46,1,1,TN,"48,94","48,52","1,700","1,686",NPOC:8.184 TN:1.686,8.184,1.686,"0,3819","0,01290",7,0,150
Unknown,NPOC/TN,"EDTA 8,56ppmC","EDTA 8,56ppmC",Calib1_C,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 16:50,1,2,TN,"48,44","48,52","1,683","1,686",NPOC:8.184 TN:1.686,8.184,1.686,"0,3819","0,01290",7,0,150
